Id,Name,City,Country,Lat,Lon,CompanySite
1,Achievement Network (ANet),Boston, US,42.3600825,-71.05888010000001,http://www.Click2Apply.net/sjfsb55htxth3p57
2,Bark.com,London, UK,51.5073509,-0.12775829999998223,https://www.bark.com/
3,Super User Studio,Bath, UK,51.3810641,-2.3590166999999838,https://www.superuserstudio.com
4,Meraki,San Francisco, US,37.7754706,-122.41896930000001,https://meraki.cisco.com/
5,PROS,Houston, US,29.7604267,-95.3698028,https://pros.com
6,Theorem,London, UK,51.50746710000001,-0.12799930000005588,http://Theorem.co
7,Borne Digital,London, UK,51.50746710000001,-0.12799930000005588,http://borneagency.com
8,Numbrs Personal Finance AG,Zurich, Switzerland,47.3768866,8.541694000000007,http://www.numbrs.com
9,Numbrs Personal Finance AG,Anywhere,Anywhere,51.165689,10.451524800000016,http://www.numbrs.com
10,Unboxed,60-62 Commercial Street,  London,51.5178624,-0.07366400000000795,http://unboxed.co
11,Super User Studio,Bath, UK,51.3810641,-2.3590166999999838,https://www.superuserstudio.com
12,Tourlane,Berlin, Germany,52.5199872,13.404892300000029,https://www.tourlane.de/
13,Tourlane,Berlin, Germany,52.5199872,13.404892300000029,https://www.tourlane.de/
14,Kent State University,Kent, US,41.1536674,-81.35788589999999,https://jobs.kent.edu/
15,SR2,Bristol, UK,51.454513,-2.5879099999999653,http://www.sr2rec.co.uk
16,Edge,London, UK,51.5073509,-0.12775829999998223,https://edge.gg
17,WELL,Boston, US,42.3600825,-71.05888010000001,http://WWW.WELL.CO
18,Digital Influx,London, UK,51.50746710000001,-0.12799930000005588,http://digitalinflux.com/
19,Trinity Cloud Company,San Jose, US,37.3382082,-121.88632860000001,http://www.trinitycloud.com
20,SpringboardVR,Anywhere, US,37.0910199,-95.71094269999998,https://springboardvr.com
21,Your.MD,London, UK,51.5073509,-0.12775829999998223,http://Your.MD
22,Wizer,Netanya, Israel,32.3217963,34.85306000000003,http://www.getwizer.com
23,Dennis Publishing,London, UK,51.5073509,-0.12775829999998223,https://www.dennis.co.uk/brands/automotive/buyacar/
24,Askia,Paris, France,48.856614,2.3522219000000177,https://www.askia.com
25,OPTiMOIT,Anywhere,Anywhere,37.09024,-95.71289100000001,https://www.optimo-it.com/
26,Healthie,New York, US,40.75448000464672,-73.99539206394047,https://www.gethealthie.com
27,OPTiMOIT,Anywhere,Anywhere,37.09024,-95.71289100000001,https://www.optimo-it.com/
28,University of Cincinnati,Cincinnati, US,39.1031182,-84.51201960000003,https://www.uc.edu/
29,Olo,New York, US,40.7127753,-74.0059728,https://www.olo.com/
30,iCapital Network,New York, NY,40.7128555,-74.00612089999998,http://icapitalnetwork.com
31,Gousto,London, UK,51.5073509,-0.12775829999998223,http://www.gousto.co.uk
32,Clara Technologies Ltd.,London, UK,51.5073509,-0.12775829999998223,https://clara.co
33,Beaconfire RED,Arlington va 22201,  US,38.8900858,-77.08667880000002,http://www.beaconfire-red.com
34,BMurphy,King of Prussia, US,40.1024253,-75.38359489999999,http://Infiniasearch.com
35,Rajul,Reston, VA,38.9588516,-77.35733870000001,http://www.lumensolutions.com
36,Ironside Group,MA 02421,  US,42.47193910000001,-71.26319899999999,http://Ironsidegroup.com
37,UserEdge Technical Personnel,Montvale, US,41.0467024,-74.02287439999998,https://www.useredge.com
38,Digital Influx,London, UK,51.5073509,-0.12775829999998223,http://digitalinflux.com/
39,Digital Influx,London, UK,51.50746710000001,-0.12799930000005588,http://digitalinflux.com/
40,Olo,Lynnwoodd, US,47.8209301,-122.31513139999998,https://www.olo.com/
41,Snappy Gifts,New York City, US,40.7127753,-74.0059728,http://www.meetsnappy.com
42,The Economist,Anywhere,Anywhere,51.5047096,-0.022626500000001215,https://economistgroupcareers.com/
43,Digital Influx,London, UK,51.5073509,-0.12775829999998223,http://digitalinflux.com/
44,Digital Influx,London, UK,51.5073509,-0.12775829999998223,http://digitalinflux.com/
45,Digital Influx,London, UK,51.5073509,-0.12775829999998223,http://digitalinflux.com/
46,The User Story,Norwich, UK,52.6308859,1.2973550000000387,http://www.theuserstory.com
47,Shoobx,Cambridge, US,42.3736158,-71.1097335,http://www.shoobx.com
48,connorbrady,Anywhere,Anywhere,37.0910199,-95.71094269999998,http://www.pathrise.com
49,eurodata AG,Anywhere,Anywhere,49.1970734,7.02141800000004,http://www.eurodata.de
50,4MY Technologies,Shelby Township, US,42.670782,-83.03299340000001,https://4my.com/
